"Fecha";"Millones de USD corrientes"
"2000/03/31";91,158597187
"2000/06/30";77,494127473
"2000/09/30";363,39414801
"2000/12/31";313,35721038
"2001/03/31";-477,5388639
"2001/06/30";-290,9201972
"2001/09/30";-22,78288821
"2001/12/31";-249,0859713
"2002/03/31";-235,597903
"2002/06/30";-348,8176201
"2002/09/30";-305,3520707
"2002/12/31";-399,4350761
"2003/03/31";-605,4217853
"2003/06/30";-70,25799395
"2003/09/30";59,359248274
"2003/12/31";-295,6838534
"2004/03/31";-591,1450785
"2004/06/30";-210,2244537
"2004/09/30";119,29379592
"2004/12/31";-92,48021461
"2005/03/31";-551,512148
"2005/06/30";-285,2684884
"2005/09/30";-877,3426537
"2005/12/31";-233,6394781
"2006/03/31";-669,3463609
"2006/06/30";-707,3868427
"2006/09/30";-775,0232527
"2006/12/31";-839,2800673
"2007/03/31";-2091,335051
"2007/06/30";-1453,64285
"2007/09/30";-1462,860163
"2007/12/31";-1141,800924
"2008/03/31";-1312,293384
"2008/06/30";-1157,350765
"2008/09/30";-1661,079657
"2008/12/31";-2366,561936
"2009/03/31";-932,1790343
"2009/06/30";-760,9207378
"2009/09/30";-1296,269764
"2009/12/31";-1443,64139
"2010/03/31";-1260,82076
"2010/06/30";-1405,755574
"2010/09/30";-3210,349642
"2010/12/31";-2706,088222
"2011/03/31";-2002,965783
"2011/06/30";-1726,111058
"2011/09/30";-3030,84709
"2011/12/31";-2974,577863
"2012/03/31";-1838,261659
"2012/06/30";-3235,458985
"2012/09/30";-3596,242539
"2012/12/31";-2970,035868
"2013/03/31";-3439,15823
"2013/06/30";-2205,944345
"2013/09/30";-3596,219454
"2013/12/31";-3123,80772
"2014/03/31";-4124,711526
"2014/06/30";-4189,284516
"2014/09/30";-5033,405892
"2014/12/31";-6471,143699
"2015/03/31";-5291,929015
"2015/06/30";-4426,374178
"2015/09/30";-5055,773282
"2015/12/31";-3928,153184
"2016/03/31";-3524,790359
"2016/06/30";-2794,416791
"2016/09/30";-3601,142148
"2016/12/31";-2666,212277
"2017/03/31";-3489,521778
"2017/06/30";-2425,556448
"2017/09/30";-2560,648281
"2017/12/31";-1448,63901
"2018/03/31";-3022,552034
"2018/06/30";-3470,930068
"2018/09/30";-3406,018548
"2018/12/31";-4141,460112
"2019/03/31";-3820,355143
"2019/06/30";-3218,923301
"2019/09/30";-4302,645383
"2019/12/31";-3466,744137
"2020/03/31";-2295,19974
"2020/06/30";-1962,071266
"2020/09/30";-2012,545351
"2020/12/31";-2996,99713
"2021/03/31";-3105,093315
"2021/06/30";-4047,233445
"2021/09/30";-4834,834525
"2021/12/31";-5962,24169
"2022/03/31";-5483,191677
"2022/06/30";-4852,271253
"2022/09/30";-6193,027448
"2022/12/31";-4695,694075
"2023/03/31";-2869,878659
"2023/06/30";-2154,709962
"2023/09/30";-1645,369218
"2023/12/31";-1953,234563
"2024/03/31";-1990,464486
"2024/06/30";-1665,604266
"2024/09/30";-1669,216251